date,close,volume,coffeePrice
2015-11-18,61.8,7215255,1.1275
2015-11-19,61.46,5154366,1.199
2015-11-20,61.99,8302476,1.219
2015-11-23,62.64,8493485,1.1995
2015-11-24,61.96,7908223,1.2286
2015-11-25,62.19,4549913,1.2396
2015-11-27,62.18,2447902,1.2256
2015-11-30,61.39,9863771,1.191
2015-12-01,61.37,10910838,1.199
2015-12-02,61.22,6587454,1.2045
2015-12-03,59.55,12056103,1.2485
2015-12-04,61.75,9100588,1.2695
2015-12-07,61.89,5967809,1.2605
2015-12-08,62.16,6664947,1.252
2015-12-09,61.18,8541573,1.268
2015-12-10,61.87,6623896,1.2635
2015-12-11,59.82,11489255,1.212
2015-12-14,59.92,13453719,1.199
2015-12-15,59.98,7842073,1.199
2015-12-16,60.35,9281835,1.1925
2015-12-17,59.515,9079430,1.183
2015-12-18,58.62,18099462,1.19
2015-12-21,59.54,7187470,1.175
2015-12-22,59.99,6501424,1.1915
2015-12-23,60.34,4510229,1.2095
2015-12-24,60.32,2215418,1.197
2015-12-28,60.19,4437236,1.1915
2015-12-29,61.13,5477335,1.2145
2015-12-30,60.82,3973912,1.2365
2015-12-31,60.03,4960875,1.267
2016-01-04,58.26,13521544,1.239
2016-01-05,58.65,9617778,1.23
2016-01-06,58.13,8266322,1.1995
2016-01-07,56.69,11140877,1.1845
2016-01-08,56.63,10427021,1.19
2016-01-11,57.82,10757313,1.1445
2016-01-12,59.46,12375826,1.1435
2016-01-13,57.87,11303603,1.148
2016-01-14,58.98,11444106,1.159
2016-01-15,58.0,15246127,1.149
2016-01-19,58.55,12288950,1.1565
2016-01-20,56.92,22786359,1.116
2016-01-21,59.03,20888519,1.144
2016-01-22,59.17,32820193,1.16
2016-01-25,57.71,13554262,1.1645
2016-01-26,58.61,8898100,1.167
2016-01-27,57.63,12491252,1.182
2016-01-28,59.285,11832368,1.1915
2016-01-29,60.77,13224438,1.1635
2016-02-01,61.4,9529094,1.1775
2016-02-02,60.695,9407352,1.1985
2016-02-03,59.53,12254460,1.2155
2016-02-04,58.29,13944926,1.232
2016-02-05,54.49,24529008,1.204
2016-02-08,54.14,21457492,1.1575
2016-02-09,54.42,11605059,1.1475
2016-02-10,55.14,11663942,1.1475
2016-02-11,54.92,12106062,1.13
2016-02-12,55.86,8680205,1.1555
2016-02-16,56.41,11594766,1.149
2016-02-17,57.63,11955188,1.1455
2016-02-18,56.96,8493953,1.1415
2016-02-19,57.67,9033620,1.1575
2016-02-22,58.87,8390689,1.1985
2016-02-23,58.46,7064095,1.178
2016-02-24,58.11,10780882,1.1544
2016-02-25,58.75,6262127,1.1525
2016-02-26,58.34,7473374,1.1432
2016-02-29,58.21,7645081,1.1457
2016-03-01,60.04,9183562,1.1475
2016-03-02,59.56,8856392,1.1555
2016-03-03,59.04,8262455,1.1785
2016-03-04,58.7,8344773,1.2105
2016-03-07,58.0,9204624,1.209
2016-03-08,57.6,8032442,1.217
2016-03-09,57.07,9734589,1.2235
2016-03-10,57.52,7023785,1.2215
2016-03-11,57.59,15497560,1.258
2016-03-14,58.65,9053250,1.272
2016-03-15,59.08,7428469,1.257
2016-03-16,59.67,8069427,1.2905
2016-03-17,59.55,7734658,1.3255
2016-03-18,59.7,14313578,1.343
2016-03-21,59.1,6487185,1.3155
2016-03-22,59.38,8246837,1.3465
2016-03-23,58.83,5794495,1.311
2016-03-24,58.36,5948307,1.2755
2016-03-28,58.96,5791603,1.2855
2016-03-29,59.55,6031947,1.2745
2016-03-30,60.01,5723499,1.27
2016-03-31,59.7,5622834,1.2745
2016-04-01,61.02,9401126,1.2725
2016-04-04,60.25,5799864,1.228
2016-04-05,60.04,4994792,1.209
2016-04-06,60.83,5667253,1.215
2016-04-07,61.17,8239174,1.198
2016-04-08,61.04,5064894,1.2045
2016-04-11,60.9,6103358,1.2335
2016-04-12,59.5,17565750,1.246
2016-04-13,60.21,9898527,1.2175
2016-04-14,60.13,5157368,1.2315
2016-04-15,60.51,5965310,1.2295
2016-04-18,60.89,7228573,1.24
2016-04-19,60.9,7283570,1.2585
